sku_id,date,units_sold
10080,2009-11-30,4.0
10080,2009-12-07,0.0
10080,2009-12-14,0.0
10080,2009-12-21,0.0
10080,2009-12-28,0.0
10080,2010-01-04,0.0
10080,2010-01-11,0.0
10080,2010-01-18,0.0
10080,2010-01-25,0.0
10080,2010-02-01,0.0
10080,2010-02-08,0.0
10080,2010-02-15,0.0
10080,2010-02-22,0.0
10080,2010-03-01,0.0
10080,2010-03-08,0.0
10080,2010-03-15,0.0
10080,2010-03-22,0.0
10080,2010-03-29,0.0
10080,2010-04-05,0.0
10080,2010-04-12,0.0
10080,2010-04-19,0.0
10080,2010-04-26,0.0
10080,2010-05-03,0.0
10080,2010-05-10,0.0
10080,2010-05-17,0.0
10080,2010-05-24,0.0
10080,2010-05-31,0.0
10080,2010-06-07,0.0
10080,2010-06-14,0.0
10080,2010-06-21,0.0
10080,2010-06-28,0.0
10080,2010-07-05,0.0
10080,2010-07-12,0.0
10080,2010-07-19,0.0
10080,2010-07-26,1.0
10080,2010-08-02,0.0
10080,2010-08-09,0.0
10080,2010-08-16,0.0
10080,2010-08-23,0.0
10080,2010-08-30,0.0
10080,2010-09-06,0.0
10080,2010-09-13,6.0
10080,2010-09-20,0.0
10080,2010-09-27,0.0
10080,2010-10-04,0.0
10080,2010-10-11,0.0
10080,2010-10-18,0.0
10080,2010-10-25,0.0
10080,2010-11-01,0.0
10080,2010-11-08,0.0
10080,2010-11-15,1.0
10080,2010-11-22,0.0
10080,2010-11-29,0.0
10080,2010-12-06,0.0
10080,2010-12-13,0.0
10080,2010-12-20,0.0
10080,2010-12-27,0.0
10080,2011-01-03,0.0
10080,2011-01-10,0.0
10080,2011-01-17,0.0
10080,2011-01-24,0.0
10080,2011-01-31,0.0
10080,2011-02-07,0.0
10080,2011-02-14,0.0
10080,2011-02-21,2.0
10080,2011-02-28,0.0
10080,2011-03-07,0.0
10080,2011-03-14,0.0
10080,2011-03-21,0.0
10080,2011-03-28,0.0
10080,2011-04-04,0.0
10080,2011-04-11,0.0
10080,2011-04-18,0.0
10080,2011-04-25,0.0
10080,2011-05-02,0.0
10080,2011-05-09,0.0
10080,2011-05-16,0.0
10080,2011-05-23,0.0
10080,2011-05-30,0.0
10080,2011-06-06,0.0
10080,2011-06-13,0.0
10080,2011-06-20,48.0
10080,2011-06-27,12.0
10080,2011-07-04,12.0
10080,2011-07-11,0.0
10080,2011-07-18,0.0
10080,2011-07-25,12.0
10080,2011-08-01,48.0
10080,2011-08-08,0.0
10080,2011-08-15,0.0
10080,2011-08-22,12.0
10080,2011-08-29,0.0
10080,2011-09-05,36.0
10080,2011-09-12,0.0
10080,2011-09-19,12.0
10080,2011-09-26,12.0
10080,2011-10-03,0.0
10080,2011-10-10,4.0
10080,2011-10-17,0.0
10080,2011-10-24,2.0
10080,2011-10-31,24.0
10080,2011-11-07,24.0
10080,2011-11-14,16.0
10080,2011-11-21,27.0
10080,2011-11-28,0.0
10080,2011-12-05,0.0
10120,2009-11-30,100.0
10120,2009-12-07,8.0
10120,2009-12-14,6.0
10120,2009-12-21,1.0
10120,2009-12-28,0.0
10120,2010-01-04,31.0
10120,2010-01-11,1.0
10120,2010-01-18,0.0
10120,2010-01-25,0.0
10120,2010-02-01,0.0
10120,2010-02-08,4.0
10120,2010-02-15,1.0
10120,2010-02-22,0.0
10120,2010-03-01,62.0
10120,2010-03-08,6.0
10120,2010-03-15,0.0
10120,2010-03-22,0.0
10120,2010-03-29,30.0
10120,2010-04-05,0.0
10120,2010-04-12,0.0
10120,2010-04-19,0.0
10120,2010-04-26,30.0
10120,2010-05-03,0.0
10120,2010-05-10,0.0
10120,2010-05-17,4.0
10120,2010-05-24,0.0
10120,2010-05-31,0.0
10120,2010-06-07,30.0
10120,2010-06-14,0.0
10120,2010-06-21,0.0
10120,2010-06-28,0.0
10120,2010-07-05,3.0
10120,2010-07-12,0.0
10120,2010-07-19,0.0
10120,2010-07-26,0.0
10120,2010-08-02,0.0
10120,2010-08-09,0.0
10120,2010-08-16,0.0
10120,2010-08-23,0.0
10120,2010-08-30,0.0
10120,2010-09-06,0.0
10120,2010-09-13,9.0
10120,2010-09-20,0.0
10120,2010-09-27,0.0
10120,2010-10-04,30.0
10120,2010-10-11,30.0
10120,2010-10-18,0.0
10120,2010-10-25,11.0
10120,2010-11-01,18.0
10120,2010-11-08,0.0
10120,2010-11-15,2.0
10120,2010-11-22,45.0
10120,2010-11-29,13.0
10120,2010-12-06,13.0
10120,2010-12-13,0.0
10120,2010-12-20,0.0
10120,2010-12-27,0.0
10120,2011-01-03,0.0
10120,2011-01-10,0.0
10120,2011-01-17,0.0
10120,2011-01-24,0.0
10120,2011-01-31,0.0
10120,2011-02-07,0.0
10120,2011-02-14,30.0
10120,2011-02-21,0.0
10120,2011-02-28,11.0
10120,2011-03-07,16.0
10120,2011-03-14,0.0
10120,2011-03-21,0.0
10120,2011-03-28,1.0
10120,2011-04-04,0.0
10120,2011-04-11,0.0
10120,2011-04-18,0.0
10120,2011-04-25,0.0
10120,2011-05-02,0.0
10120,2011-05-09,1.0
10120,2011-05-16,2.0
10120,2011-05-23,0.0
10120,2011-05-30,0.0
10120,2011-06-06,0.0
10120,2011-06-13,0.0
10120,2011-06-20,0.0
10120,2011-06-27,0.0
10120,2011-07-04,5.0
10120,2011-07-11,0.0
10120,2011-07-18,0.0
10120,2011-07-25,0.0
10120,2011-08-01,5.0
10120,2011-08-08,0.0
10120,2011-08-15,0.0
10120,2011-08-22,30.0
10120,2011-08-29,3.0
10120,2011-09-05,0.0
10120,2011-09-12,0.0
10120,2011-09-19,1.0
10120,2011-09-26,6.0
10120,2011-10-03,5.0
10120,2011-10-10,0.0
10120,2011-10-17,5.0
10120,2011-10-24,0.0
10120,2011-10-31,38.0
10120,2011-11-07,0.0
10120,2011-11-14,6.0
10120,2011-11-21,1.0
10120,2011-11-28,10.0
10120,2011-12-05,0.0
10124A,2009-11-30,0.0
10124A,2009-12-07,0.0
10124A,2009-12-14,0.0
10124A,2009-12-21,0.0
10124A,2009-12-28,0.0
10124A,2010-01-04,0.0
10124A,2010-01-11,0.0
