date,sku_id,units_sold,revenue,unit_price,promo_flag
2009-12-01,15036,55.0,35.75,0.65,1
2009-12-02,15036,15.0,19.5,1.3,1
2009-12-03,15036,243.0,119.1,0.89,1
2009-12-04,15036,12.0,7.800000000000001,0.65,1
2009-12-05,15036,12.0,7.800000000000001,0.65,1
2009-12-06,15036,0.0,0.0,0.65,1
2009-12-07,15036,67.0,48.1,0.8666666666666667,1
2009-12-08,15036,29.0,22.1,0.9750000000000001,1
2009-12-09,15036,3.0,3.9000000000000004,1.3,1
2009-12-10,15036,4.0,5.2,1.3,1
2009-12-11,15036,0.0,0.0,1.3,1
2009-12-12,15036,0.0,0.0,1.3,1
2009-12-13,15036,0.0,0.0,1.3,1
2009-12-14,15036,50.0,41.6,1.04,1
2009-12-15,15036,0.0,0.0,1.04,1
2009-12-16,15036,7.0,9.100000000000001,1.3,1
2009-12-17,15036,0.0,0.0,1.3,1
2009-12-18,15036,6.0,7.800000000000001,1.3,1
2009-12-19,15036,0.0,0.0,1.3,0
2009-12-20,15036,0.0,0.0,1.3,0
2009-12-21,15036,0.0,0.0,1.3,0
2009-12-22,15036,102.0,70.2,1.1375,1
2009-12-23,15036,1.0,1.3,1.3,0
2009-12-24,15036,0.0,0.0,1.3,0
2009-12-25,15036,0.0,0.0,1.3,0
2009-12-26,15036,0.0,0.0,1.3,0
2009-12-27,15036,0.0,0.0,1.3,0
2009-12-28,15036,0.0,0.0,1.3,0
2009-12-29,15036,0.0,0.0,1.3,0
2009-12-30,15036,0.0,0.0,1.3,0
2009-12-31,15036,0.0,0.0,1.3,0
2010-01-01,15036,0.0,0.0,1.3,1
2010-01-02,15036,0.0,0.0,1.3,1
2010-01-03,15036,0.0,0.0,1.3,1
2010-01-04,15036,12.0,7.800000000000001,0.65,1
2010-01-05,15036,0.0,0.0,0.65,1
2010-01-06,15036,0.0,0.0,0.65,1
2010-01-07,15036,36.0,23.400000000000002,0.65,1
2010-01-08,15036,144.0,93.60000000000001,0.65,1
2010-01-09,15036,0.0,0.0,0.65,1
2010-01-10,15036,0.0,0.0,0.65,1
2010-01-11,15036,7.0,8.98,1.2866666666666668,1
2010-01-12,15036,2.0,2.56,1.28,1
2010-01-13,15036,2.0,2.56,1.28,1
2010-01-14,15036,19.0,16.76,1.1225,1
2010-01-15,15036,0.0,0.0,1.1225,1
2010-01-16,15036,0.0,0.0,1.1225,1
2010-01-17,15036,0.0,0.0,1.1225,1
2010-01-18,15036,1.0,1.28,1.28,0
2010-01-19,15036,53.0,37.6,0.9650000000000001,1
2010-01-20,15036,24.0,15.600000000000001,0.65,1
2010-01-21,15036,0.0,0.0,0.65,1
2010-01-22,15036,4.0,5.12,1.28,0
2010-01-23,15036,0.0,0.0,1.28,0
2010-01-24,15036,36.0,23.400000000000002,0.65,1
2010-01-25,15036,5.0,6.4,1.28,0
2010-01-26,15036,13.0,9.08,0.9650000000000001,1
2010-01-27,15036,17.0,14.200000000000001,0.9650000000000001,1
2010-01-28,15036,0.0,0.0,0.9650000000000001,0
2010-01-29,15036,24.0,15.600000000000001,0.65,1
2010-01-30,15036,0.0,0.0,0.65,1
2010-01-31,15036,0.0,0.0,0.65,1
2010-02-01,15036,12.0,7.800000000000001,0.65,1
2010-02-02,15036,0.0,0.0,0.65,1
2010-02-03,15036,0.0,0.0,0.65,1
2010-02-04,15036,0.0,0.0,0.65,1
2010-02-05,15036,24.0,12.72,0.53,1
2010-02-06,15036,0.0,0.0,0.53,1
2010-02-07,15036,0.0,0.0,0.53,1
2010-02-08,15036,50.0,33.760000000000005,1.07,0
2010-02-09,15036,0.0,0.0,1.07,0
2010-02-10,15036,0.0,0.0,1.07,0
2010-02-11,15036,0.0,0.0,1.07,0
2010-02-12,15036,48.0,31.200000000000003,0.65,1
2010-02-13,15036,0.0,0.0,0.65,0
2010-02-14,15036,0.0,0.0,0.65,0
2010-02-15,15036,24.0,15.600000000000001,0.65,0
2010-02-16,15036,70.0,51.800000000000004,0.86,0
2010-02-17,15036,24.0,15.600000000000001,0.65,0
2010-02-18,15036,96.0,62.400000000000006,0.65,0
2010-02-19,15036,0.0,0.0,0.65,0
2010-02-20,15036,0.0,0.0,0.65,0
2010-02-21,15036,0.0,0.0,0.65,0
2010-02-22,15036,24.0,15.600000000000001,0.65,0
2010-02-23,15036,0.0,0.0,0.65,0
2010-02-24,15036,16.0,14.120000000000001,1.0150000000000001,0
2010-02-25,15036,62.0,37.0,0.8533333333333334,0
2010-02-26,15036,1.0,0.75,0.75,0
2010-02-27,15036,0.0,0.0,0.75,0
2010-02-28,15036,0.0,0.0,0.75,0
2010-03-01,15036,97.0,73.28,1.0150000000000001,0
2010-03-02,15036,60.0,76.8,1.28,0
2010-03-03,15036,0.0,0.0,1.28,0
2010-03-04,15036,37.0,28.28,0.9266666666666667,0
2010-03-05,15036,0.0,0.0,0.9266666666666667,0
2010-03-06,15036,0.0,0.0,0.9266666666666667,0
2010-03-07,15036,0.0,0.0,0.9266666666666667,0
2010-03-08,15036,16.0,14.120000000000001,1.0150000000000001,0
2010-03-09,15036,15.0,19.2,1.28,0
2010-03-10,15036,72.0,54.0,0.75,0
2010-03-11,15036,1.0,1.28,1.28,0
2010-03-12,15036,0.0,0.0,1.28,0
2010-03-13,15036,0.0,0.0,1.28,0
2010-03-14,15036,0.0,0.0,1.28,0
2010-03-15,15036,26.0,20.56,1.0150000000000001,0
2010-03-16,15036,72.0,51.6,0.6833333333333332,1
2010-03-17,15036,25.0,19.28,1.0150000000000001,0
2010-03-18,15036,24.0,15.600000000000001,0.65,1
2010-03-19,15036,600.0,318.0,0.53,1
2010-03-20,15036,0.0,0.0,0.53,1
2010-03-21,15036,0.0,0.0,0.53,1
2010-03-22,15036,0.0,0.0,0.53,1
2010-03-23,15036,9.0,6.75,0.75,1
2010-03-24,15036,0.0,0.0,0.75,1
2010-03-25,15036,12.0,10.06,1.0150000000000001,0
2010-03-26,15036,60.0,45.0,0.75,1
2010-03-27,15036,0.0,0.0,0.75,1
2010-03-28,15036,36.0,25.8,0.7166666666666667,1
2010-03-29,15036,24.0,16.8,0.7,1
2010-03-30,15036,123.0,72.72,0.8533333333333334,0
